dataset,method,repeat,tstr_f1,trtr_f1
Diabetes,CVAE,5,0.6170678336980306,0.6255585478845398
Diabetes,CVAE,6,0.6061946902654868,0.6435508539302139
Diabetes,CVAE,7,0.6086956521739131,0.6159927967683466
Diabetes,CVAE,8,0.610752688172043,0.649232335415272
Diabetes,CVAE,9,0.6021978021978022,0.6348353685070081
Diabetes,CVAE,10,0.6004415011037527,0.6365191768940761
Diabetes,CVAE,11,0.6065934065934065,0.6275005117364929
Diabetes,CVAE,12,0.6381156316916489,0.6172505397693369
Diabetes,CVAE,13,0.6047516198704104,0.6337125422251281
Diabetes,CVAE,14,0.6163793103448276,0.6279664995529702
Diabetes,CVAE,15,0.6083150984682714,0.6291838540516805
Diabetes,CVAE,16,0.6136865342163356,0.6008207399687338
Diabetes,CVAE,17,0.6147186147186147,0.6181328578875844
Diabetes,CVAE,18,0.6223175965665236,0.6274351146454851
Diabetes,CVAE,19,0.6193548387096774,0.6365643879667371
