dataset,method,run,separability_auc
Breast Cancer,SMOTE,29,0.5539249482911455
Breast Cancer,SMOTE,30,0.5453068058701862
Breast Cancer,SMOTE,31,0.5790653008962868
Breast Cancer,SMOTE,32,0.5546143996848221
Breast Cancer,SMOTE,33,0.5551561114941397
Breast Cancer,SMOTE,34,0.5760858859450408
Breast Cancer,SMOTE,35,0.5467103319215996
Breast Cancer,SMOTE,36,0.5834482418989461
Breast Cancer,SMOTE,37,0.54023441347385
Breast Cancer,SMOTE,38,0.5373534915788437
Breast Cancer,SMOTE,39,0.5914261794543484
Breast Cancer,SMOTE,40,0.5099970452083128
Breast Cancer,SMOTE,41,0.5957598739288881
Breast Cancer,SMOTE,42,0.577957254013592
Breast Cancer,SMOTE,43,0.5468826947700187
Breast Cancer,SMOTE,44,0.5916724120949473
Breast Cancer,SMOTE,45,0.5218162119570571
Breast Cancer,SMOTE,46,0.5786713286713286
Breast Cancer,SMOTE,47,0.5509455333398996
Breast Cancer,SMOTE,48,0.5733280803703338
Breast Cancer,SMOTE,49,0.5898995370826358
Breast Cancer,GMM-guided SMOTE,0,0.6043533930857874
Breast Cancer,GMM-guided SMOTE,1,0.580715059588299
Breast Cancer,GMM-guided SMOTE,2,0.5721461636954595
Breast Cancer,GMM-guided SMOTE,3,0.56355264453856
Breast Cancer,GMM-guided SMOTE,4,0.5810105387570176
Breast Cancer,GMM-guided SMOTE,5,0.582438688072491
Breast Cancer,GMM-guided SMOTE,6,0.5677385994287403
Breast Cancer,GMM-guided SMOTE,7,0.5805919432679997
Breast Cancer,GMM-guided SMOTE,8,0.6113710233428544
Breast Cancer,GMM-guided SMOTE,9,0.5646360681571949
Breast Cancer,GMM-guided SMOTE,10,0.5126563577267803
Breast Cancer,GMM-guided SMOTE,11,0.5498867329853245
Breast Cancer,GMM-guided SMOTE,12,0.552546045503792
Breast Cancer,GMM-guided SMOTE,13,0.594085491972816
Breast Cancer,GMM-guided SMOTE,14,0.5443957450999705
Breast Cancer,GMM-guided SMOTE,15,0.5488771791588694
Breast Cancer,GMM-guided SMOTE,16,0.5960307298335468
Breast Cancer,GMM-guided SMOTE,17,0.5130257066876786
Breast Cancer,GMM-guided SMOTE,18,0.5061065694868512
Breast Cancer,GMM-guided SMOTE,19,0.5726140057125972
