dataset,method,feature_index,feature,kld
HIV,CVAE,49,V9_IFNg,2.7236158588529094
HIV,CVAE,50,V8_IL2,2.0694988936720327
HIV,CVAE,51,V9_IL2,3.6602601109840673
HIV,CVAE,52,V9Dual,1.9892154892328369
HIV,CVAE,53,V8Dual,1.929313845215565
HIV,CVAE,54,IFNG_production,3.3233359953032644
HIV,CVAE,55,Il2_production,8.066803285833458
HIV,CVAE,56,RATIO_CD4CD8,4.149644459464679
HIV,CVAE,57,V8Neut,3.498220598647084
HIV,CVAE,58,V9Neut,2.9301142174636112
HIV,CVAE,59,V7_ACE2,1.6792594004801302
HIV,CVAE,60,V8_ACE2,3.005803707886412
HIV,CVAE,61,V8b_ACE2,5.044107446403353
HIV,CVAE,62,V9_ACE2,3.4571393416374594
Breast Cancer,Bootstrap,0,mean radius,0.1381144634046621
Breast Cancer,Bootstrap,1,mean texture,0.0482502779859886
Breast Cancer,Bootstrap,2,mean perimeter,0.0933659926225682
Breast Cancer,Bootstrap,3,mean area,0.1021005267968174
Breast Cancer,Bootstrap,4,mean smoothness,0.0522725442992124
Breast Cancer,Bootstrap,5,mean compactness,0.0907748489500372
Breast Cancer,Bootstrap,6,mean concavity,0.2727102140767937
Breast Cancer,Bootstrap,7,mean concave points,0.2448296112375633
Breast Cancer,Bootstrap,8,mean symmetry,0.0984260715228612
Breast Cancer,Bootstrap,9,mean fractal dimension,0.0928550372097904
Breast Cancer,Bootstrap,10,radius error,0.0802811370371163
Breast Cancer,Bootstrap,11,texture error,0.1754319674661558
Breast Cancer,Bootstrap,12,perimeter error,0.2740891824664803
Breast Cancer,Bootstrap,13,area error,0.1835562571446002
Breast Cancer,Bootstrap,14,smoothness error,0.1266739500933417
Breast Cancer,Bootstrap,15,compactness error,0.1705518116148882
Breast Cancer,Bootstrap,16,concavity error,0.0403201418367999
Breast Cancer,Bootstrap,17,concave points error,0.0885964496628512
Breast Cancer,Bootstrap,18,symmetry error,0.0939672210317506
Breast Cancer,Bootstrap,19,fractal dimension error,0.1281666305564964
Breast Cancer,Bootstrap,20,worst radius,0.0518392090584258
Breast Cancer,Bootstrap,21,worst texture,0.0470935301888678
Breast Cancer,Bootstrap,22,worst perimeter,0.0739764837796611
Breast Cancer,Bootstrap,23,worst area,0.0520064970204327
Breast Cancer,Bootstrap,24,worst smoothness,0.0984793595522137
Breast Cancer,Bootstrap,25,worst compactness,0.2311507164450558
Breast Cancer,Bootstrap,26,worst concavity,0.1501511172981601
Breast Cancer,Bootstrap,27,worst concave points,0.0292322913845534
Breast Cancer,Bootstrap,28,worst symmetry,0.1258977904096498
Breast Cancer,Bootstrap,29,worst fractal dimension,0.141085676044137
Breast Cancer,Column-wise,0,mean radius,0.1329711814153086
Breast Cancer,Column-wise,1,mean texture,0.1445938534262091
Breast Cancer,Column-wise,2,mean perimeter,0.048647598325868
Breast Cancer,Column-wise,3,mean area,0.1107663237004086
Breast Cancer,Column-wise,4,mean smoothness,0.1374416604528103
Breast Cancer,Column-wise,5,mean compactness,0.0561190879690931
Breast Cancer,Column-wise,6,mean concavity,0.0452126990127733
Breast Cancer,Column-wise,7,mean concave points,0.0636008817185979
Breast Cancer,Column-wise,8,mean symmetry,0.209980220562054
Breast Cancer,Column-wise,9,mean fractal dimension,0.1381517967971125
Breast Cancer,Column-wise,10,radius error,0.0108316352191953
Breast Cancer,Column-wise,11,texture error,0.0175580648353043
Breast Cancer,Column-wise,12,perimeter error,0.1051708453002841
Breast Cancer,Column-wise,13,area error,0.0525556192643465
Breast Cancer,Column-wise,14,smoothness error,0.0937252929724841
Breast Cancer,Column-wise,15,compactness error,0.2874214834381867
Breast Cancer,Column-wise,16,concavity error,0.0745933633013583
Breast Cancer,Column-wise,17,concave points error,0.0533268148683498
Breast Cancer,Column-wise,18,symmetry error,0.0900330482963504
Breast Cancer,Column-wise,19,fractal dimension error,0.0855112078797152
Breast Cancer,Column-wise,20,worst radius,0.0189931229674117
Breast Cancer,Column-wise,21,worst texture,0.1024891628874462
Breast Cancer,Column-wise,22,worst perimeter,0.0837880821814545
Breast Cancer,Column-wise,23,worst area,0.0747453073028444
Breast Cancer,Column-wise,24,worst smoothness,0.0616324315361771
Breast Cancer,Column-wise,25,worst compactness,0.231242909383489
Breast Cancer,Column-wise,26,worst concavity,0.1163223265508346
Breast Cancer,Column-wise,27,worst concave points,0.1174748299780026
Breast Cancer,Column-wise,28,worst symmetry,0.1167370410842622
Breast Cancer,Column-wise,29,worst fractal dimension,0.0148975232731564
Breast Cancer,SMOTE,0,mean radius,0.1080781594488513
Breast Cancer,SMOTE,1,mean texture,0.1597188356275324
Breast Cancer,SMOTE,2,mean perimeter,0.1219875360757141
Breast Cancer,SMOTE,3,mean area,0.0869523068862961
Breast Cancer,SMOTE,4,mean smoothness,0.5437831673601239
Breast Cancer,SMOTE,5,mean compactness,0.2437479430522039
Breast Cancer,SMOTE,6,mean concavity,0.2678851013045086
Breast Cancer,SMOTE,7,mean concave points,0.2017508726037144
Breast Cancer,SMOTE,8,mean symmetry,0.3985964274476361
Breast Cancer,SMOTE,9,mean fractal dimension,0.2310444700056401
Breast Cancer,SMOTE,10,radius error,0.1051527255782085
Breast Cancer,SMOTE,11,texture error,0.3302534210747358
Breast Cancer,SMOTE,12,perimeter error,0.0744149748978825
Breast Cancer,SMOTE,13,area error,0.0701566260552715
Breast Cancer,SMOTE,14,smoothness error,0.5269994143516221
Breast Cancer,SMOTE,15,compactness error,0.404956380495885
Breast Cancer,SMOTE,16,concavity error,0.2072130658556338
Breast Cancer,SMOTE,17,concave points error,0.2412153193477532
Breast Cancer,SMOTE,18,symmetry error,0.2630491074570139
Breast Cancer,SMOTE,19,fractal dimension error,0.2498389088505886
Breast Cancer,SMOTE,20,worst radius,0.0171348380191026
Breast Cancer,SMOTE,21,worst texture,0.2916740359623708
Breast Cancer,SMOTE,22,worst perimeter,0.0644403426174868
Breast Cancer,SMOTE,23,worst area,0.0666315302063333
Breast Cancer,SMOTE,24,worst smoothness,0.3379762058991346
Breast Cancer,SMOTE,25,worst compactness,0.146990745231171
Breast Cancer,SMOTE,26,worst concavity,0.2759705259509292
Breast Cancer,SMOTE,27,worst concave points,0.0643293381779649
Breast Cancer,SMOTE,28,worst symmetry,0.4835039256136542
Breast Cancer,SMOTE,29,worst fractal dimension,0.1144237313614654
Breast Cancer,GMM-guided SMOTE,0,mean radius,0.1351571998032277
Breast Cancer,GMM-guided SMOTE,1,mean texture,0.0879447530085372
Breast Cancer,GMM-guided SMOTE,2,mean perimeter,0.049137020835493
Breast Cancer,GMM-guided SMOTE,3,mean area,0.1037004372011444
Breast Cancer,GMM-guided SMOTE,4,mean smoothness,0.1824580128168164
Breast Cancer,GMM-guided SMOTE,5,mean compactness,0.2450118059254898
Breast Cancer,GMM-guided SMOTE,6,mean concavity,0.2321605115330203
Breast Cancer,GMM-guided SMOTE,7,mean concave points,0.1297841644471969
Breast Cancer,GMM-guided SMOTE,8,mean symmetry,0.1866972128275585
Breast Cancer,GMM-guided SMOTE,9,mean fractal dimension,0.1864627255540071
Breast Cancer,GMM-guided SMOTE,10,radius error,0.1495008136924918
Breast Cancer,GMM-guided SMOTE,11,texture error,0.3807017738864924
