dataset,method,repeat,tstr_f1,trtr_f1,utility_gap_abs
Diabetes,Column-wise,16,0.6666666666666666,0.6008207399687338,0.06584592669793288
Diabetes,Column-wise,17,0.6578449905482041,0.6181328578875844,0.03971213266061968
Diabetes,Column-wise,18,0.659047619047619,0.6274351146454851,0.03161250440213392
Diabetes,Column-wise,19,0.6641509433962264,0.6365643879667371,0.02758655542948929
Diabetes,SMOTE,0,0.7692307692307693,0.6359960861930593,0.13323468303771002
Diabetes,SMOTE,1,0.7575150300601202,0.6296346279644762,0.127880402095644
Diabetes,SMOTE,2,0.7595959595959596,0.6210862729012853,0.13850968669467434
Diabetes,SMOTE,3,0.7565392354124748,0.6451070392839708,0.11143219612850397
Diabetes,SMOTE,4,0.7565392354124748,0.6362267885082725,0.12031244690420229
Diabetes,SMOTE,5,0.7555555555555555,0.6255585478845398,0.12999700767101574
Diabetes,SMOTE,6,0.7605633802816901,0.6435508539302139,0.11701252635147619
Diabetes,SMOTE,7,0.76,0.6159927967683466,0.1440072032316534
Diabetes,SMOTE,8,0.7645875251509054,0.649232335415272,0.11535518973563341
Diabetes,SMOTE,9,0.7649402390438247,0.6348353685070081,0.13010487053681663
Diabetes,SMOTE,10,0.7645875251509054,0.6365191768940761,0.12806834825682933
Diabetes,SMOTE,11,0.7601626016260162,0.6275005117364929,0.13266208988952333
Diabetes,SMOTE,12,0.7615230460921844,0.6172505397693369,0.1442725063228475
Diabetes,SMOTE,13,0.7580645161290323,0.6337125422251281,0.12435197390390418
Diabetes,SMOTE,14,0.7580645161290323,0.6279664995529702,0.13009801657606201
Diabetes,SMOTE,15,0.7575150300601202,0.6291838540516805,0.12833117600843968
Diabetes,SMOTE,16,0.7555555555555555,0.6008207399687338,0.15473481558682178
Diabetes,SMOTE,17,0.7586206896551724,0.6181328578875844,0.14048783176758795
Diabetes,SMOTE,18,0.7575150300601202,0.6274351146454851,0.13007991541463515
Diabetes,SMOTE,19,0.7555555555555555,0.6365643879667371,0.11899116758881845
Diabetes,GMM-guided SMOTE,0,0.7657841140529531,0.6359960861930593,0.12978802785989385
Diabetes,GMM-guided SMOTE,1,0.7682926829268293,0.6296346279644762,0.13865805496235306
Diabetes,GMM-guided SMOTE,2,0.7591836734693878,0.6210862729012853,0.1380974005681025
Diabetes,GMM-guided SMOTE,3,0.763265306122449,0.6451070392839708,0.11815826683847819
Diabetes,GMM-guided SMOTE,4,0.7730061349693251,0.6362267885082725,0.1367793464610526
Diabetes,GMM-guided SMOTE,5,0.7581967213114754,0.6255585478845398,0.13263817342693562
Diabetes,GMM-guided SMOTE,6,0.7607361963190185,0.6435508539302139,0.11718534238880451
Diabetes,GMM-guided SMOTE,7,0.7663934426229508,0.6159927967683466,0.15040064585460422
Diabetes,GMM-guided SMOTE,8,0.7764227642276422,0.649232335415272,0.1271904288123702
Diabetes,GMM-guided SMOTE,9,0.756198347107438,0.6348353685070081,0.12136297860043
Diabetes,GMM-guided SMOTE,10,0.7622950819672131,0.6365191768940761,0.12577590507313696
Diabetes,GMM-guided SMOTE,11,0.7723577235772358,0.6275005117364929,0.14485721184074285
Diabetes,GMM-guided SMOTE,12,0.7654320987654321,0.6172505397693369,0.1481815589960952
Diabetes,GMM-guided SMOTE,13,0.769857433808554,0.6337125422251281,0.1361448915834259
Diabetes,GMM-guided SMOTE,14,0.7663934426229508,0.6279664995529702,0.1384269430699806
Diabetes,GMM-guided SMOTE,15,0.7789046653144016,0.6291838540516805,0.14972081126272108
Diabetes,GMM-guided SMOTE,16,0.7540983606557377,0.6008207399687338,0.1532776206870039
Diabetes,GMM-guided SMOTE,17,0.7587628865979381,0.6181328578875844,0.14063002871035368
Diabetes,GMM-guided SMOTE,18,0.7764227642276422,0.6274351146454851,0.14898764958215716
Diabetes,GMM-guided SMOTE,19,0.7682926829268293,0.6365643879667371,0.1317282949600922
Diabetes,CVAE,0,0.6177105831533477,0.6359960861930593,0.018285503039711548
Diabetes,CVAE,1,0.6030368763557483,0.6296346279644762,0.026597751608727904
Diabetes,CVAE,2,0.6136865342163356,0.6210862729012853,0.007399738684949697
Diabetes,CVAE,3,0.6153846153846154,0.6451070392839708,0.02972242389935542
Diabetes,CVAE,4,0.6190476190476191,0.6362267885082725,0.017179169460653454
Diabetes,CVAE,5,0.6170678336980306,0.6255585478845398,0.008490714186509152
Diabetes,CVAE,6,0.6061946902654868,0.6435508539302139,0.03735616366472716
Diabetes,CVAE,7,0.6086956521739131,0.6159927967683466,0.007297144594433536
Diabetes,CVAE,8,0.610752688172043,0.649232335415272,0.038479647243229054
Diabetes,CVAE,9,0.6021978021978022,0.6348353685070081,0.03263756630920589
Diabetes,CVAE,10,0.6004415011037527,0.6365191768940761,0.036077675790323394
Diabetes,CVAE,11,0.6065934065934065,0.6275005117364929,0.020907105143086357
Diabetes,CVAE,12,0.6381156316916489,0.6172505397693369,0.020865091922312007
Diabetes,CVAE,13,0.6047516198704104,0.6337125422251281,0.0289609223547177
Diabetes,CVAE,14,0.6163793103448276,0.6279664995529702,0.011587189208142612
