repeat,seed,dataset,prior,feature_index,feature,n_real,n_synthetic,real_mean,synthetic_mean,mean_difference,t_statistic,p_value,ks_statistic,standardized_mean_difference,standardized_wasserstein
0,42,HIV,Log-normal,34,V8_Saliva_IgGRBD,91,91,122.48972522295438,96.56687539488405,-25.922849828070326,2.384459487196062,0.018751622610569927,0.25274725274725274,-0.26654461342126523,0.4727169030663753
0,42,HIV,Log-normal,35,V8b_Saliva_IgGspike,91,91,338.2158605004405,347.9769266987895,9.761066198348999,-0.8475394136613913,0.3985926146421813,0.2967032967032967,0.09289767031899103,0.5221987000894998
0,42,HIV,Log-normal,36,V8b_Saliva_IgGRBD,91,91,398.57266855436364,392.5394545335036,-6.0332140208600435,0.41417202718223484,0.6795629350603326,0.34065934065934067,-0.04566106585523671,0.5053675211418827
0,42,HIV,Log-normal,37,V9_Saliva_IgGspike,91,91,223.05881720666702,205.59601341499078,-17.462803791676237,1.3107089596065202,0.19236317564651356,0.21978021978021978,-0.15058246540707054,0.473442806331104
0,42,HIV,Log-normal,38,V9_Saliva_IgGRBD,91,91,255.26088198462685,213.24855779291508,-42.01232419171177,2.19781308763056,0.02996282603214041,0.25274725274725274,-0.24629418767862185,0.5179440564201657
0,42,HIV,Log-normal,39,V4_Saliva_IgAspike,91,91,47.108007475570005,37.15466069651174,-9.953346779058265,3.019329920223996,0.0032224757418987953,0.3516483516483517,-0.3243273142663944,0.5008855179222933
0,42,HIV,Log-normal,40,V4_Saliva_IgARBD,91,91,43.100691578545415,35.15213415124914,-7.948557427296272,2.5181394259057535,0.01308244059718224,0.3516483516483517,-0.2879122075631591,0.4425249678295015
0,42,HIV,Log-normal,41,V5_Saliva_IgAspike,91,91,84.73729122602023,70.89865988427466,-13.838631341745568,2.038826652952996,0.04365774990835994,0.31868131868131866,-0.23155099055212797,0.4178489494190645
0,42,HIV,Log-normal,42,V5_Saliva_IgARBD,91,91,83.34017392108728,67.91610926324195,-15.424064657845335,2.1371651664375153,0.034389310803768516,0.24175824175824176,-0.25216335866570194,0.3965963530209577
0,42,HIV,Log-normal,43,V8_Saliva_IgAspike,91,91,51.38416520219583,44.10735828273899,-7.276806919456838,1.8110275010759826,0.072902572118043,0.27472527472527475,-0.19948467472536482,0.3971624570351827
0,42,HIV,Log-normal,44,V8_Saliva_IgARBD,91,91,57.968210541285,43.4435019335904,-14.524708607694606,2.4906058961091655,0.01424966451854625,0.23076923076923078,-0.27524394553015685,0.39727961418639407
0,42,HIV,Log-normal,45,V8b_Saliva_IgAspike,91,91,46.935210124476924,39.00688209114494,-7.9283280333319865,2.361307358973232,0.019698040674967693,0.26373626373626374,-0.27490213291485355,0.39370726216725255
0,42,HIV,Log-normal,46,V8b_Saliva_IgARBD,91,91,52.45808972107185,43.939483579698496,-8.518606141373354,1.9192118057915466,0.057243710943006,0.16483516483516483,-0.22039854865416522,0.33272529007034857
0,42,HIV,Log-normal,47,V9_Saliva_IgAspike,91,91,27.16994598647068,23.552223074567188,-3.617722911903492,1.3897162133232843,0.16724487981914932,0.26373626373626374,-0.1566272193746733,0.3526751402175459
0,42,HIV,Log-normal,48,V9_Saliva_IgARBD,91,91,26.604469154889767,17.926102826883504,-8.678366328006263,1.8514490856096637,0.0671734157624146,0.26373626373626374,-0.19738837924203997,0.32571492862751805
0,42,HIV,Log-normal,49,V8_IFNg,91,91,31.1695054599217,23.748635009094908,-7.4208704508267935,1.9315307538268474,0.05554588185655798,0.18681318681318682,-0.22671445143777363,0.3577589888817112
0,42,HIV,Log-normal,50,V9_IFNg,91,91,78.89835192083002,56.66464433565245,-22.233707585177577,1.9956641707125062,0.04821797770106682,0.2087912087912088,-0.2269832237276896,0.3433720853811306
0,42,HIV,Log-normal,51,V8_IL2,91,91,130.1841593312693,108.09839825053791,-22.0857610807314,1.474736759977869,0.14264215524570767,0.18681318681318682,-0.17325775444418196,0.2904299009421358
0,42,HIV,Log-normal,52,V9_IL2,91,91,174.50123680030907,145.40820593362326,-29.093030866685808,1.4933488563289052,0.13768465495654506,0.1978021978021978,-0.1761302216000513,0.36761233425415296
0,42,HIV,Log-normal,53,V9Dual,91,91,19.905494527502373,15.494870935167585,-4.4106235923347885,1.496270484807297,0.13715134060285802,0.2857142857142857,-0.1709604971880027,0.29961779182455484
0,42,HIV,Log-normal,54,V8Dual,91,91,8.972802202780167,7.060127268780719,-1.9126749339994484,1.4830247388319564,0.14069439055465333,0.23076923076923078,-0.16817380719949246,0.2787873107877347
0,42,HIV,Log-normal,55,IFNG_production,91,91,0.09224910548489008,0.10433040407823992,0.012081298593349832,-1.1325104361940288,0.25924141867642436,0.32967032967032966,0.13905370274848888,0.3675231308181756
0,42,HIV,Log-normal,56,Il2_production,91,91,0.2338140260551002,0.25552040322141334,0.02170637716631313,-1.3700978197768394,0.17272054849698618,0.23076923076923078,0.16820302358551895,0.367481204593635
0,42,HIV,Log-normal,57,RATIO_CD4CD8,91,91,1.2654785350128845,1.2276386769263299,-0.037839858086554656,0.35282596081165896,0.7248946102927676,0.37362637362637363,-0.03900305870444275,0.4005608874931678
0,42,HIV,Log-normal,58,V8Neut,91,91,265.0976501297165,119.78641490097884,-145.31123522873764,3.9451662462048773,0.00014066680654440395,0.25274725274725274,-0.43637906293148215,0.4489603709859114
0,42,HIV,Log-normal,59,V9Neut,91,91,935.7140911647251,509.040047949487,-426.6740432152381,3.9200231680088953,0.00015781424773419816,0.3516483516483517,-0.4281665399840386,0.5778369884582436
0,42,HIV,Log-normal,60,V7_ACE2,91,91,334.41255225716054,178.61148381495215,-155.8010684422084,4.068315757404039,9.641587650182467e-05,0.4175824175824176,-0.43484184960434186,0.5039030397160201
0,42,HIV,Log-normal,61,V8_ACE2,91,91,136.17588026444992,79.86168385599996,-56.31419640844996,3.5857169565133886,0.0005307328748942076,0.37362637362637363,-0.38213323697012963,0.4651280399917914
0,42,HIV,Log-normal,62,V8b_ACE2,91,91,694.1192100441062,543.616923740932,-150.5022863031743,2.9024947381903843,0.00447906512703502,0.3076923076923077,-0.3202992420682608,0.5636808881466797
0,42,HIV,Log-normal,63,V9_ACE2,91,91,523.224073766352,359.34859642615686,-163.87547734019518,2.8752045057972477,0.0048341377263332545,0.27472527472527475,-0.31951243254525913,0.4728530935264447
0,42,HIV,Class GMM,1,spikeProduction_D1D2,91,91,3.140899490524124,3.1439335215222703,0.003034030998146253,-0.2042934377465683,0.8384563389141879,0.26373626373626374,0.0234847140003615,0.46890709920521784
