dataset,method,n_features_removed,n_features_retained,auc_mean,auc_sd,auc_values
Breast Cancer,Bootstrap,8,22,0.7219196296661086,0.019117260865987737,"[0.7403969270166453, 0.74788239929085, 0.7157982862208214, 0.7156013001083423, 0.701073574313011, 0.7501969861124791, 0.7295626908302965, 0.6875307790800749, 0.7315817984832069, 0.7222742046685708, 0.7399290849995075, 0.7088299024918743, 0.6928740273810696, 0.7321235102925244, 0.6984881315867232, 0.7162661282379592, 0.7420220624445977, 0.7257460849010144, 0.6956318329557766, 0.7445828819068255]"
Breast Cancer,Bootstrap,12,18,0.7246257263862896,0.017524857242494935,"[0.73941199645425, 0.7507386979217965, 0.723726977248104, 0.7166354771988575, 0.706786171574904, 0.7452723333005024, 0.7299074165271349, 0.7045208312813946, 0.7390180242292919, 0.7269526248399487, 0.7465281197675564, 0.710799763616665, 0.6963705308775732, 0.7325174825174825, 0.6986851176992022, 0.7173003053284743, 0.7440904166256279, 0.7271742342164877, 0.6950408746183394, 0.7410371318822023]"
Breast Cancer,Bootstrap,16,14,0.727102826750714,0.015084732678174952,"[0.7400029547916872, 0.7456663055254604, 0.7199842411110016, 0.7219541022357924, 0.7127942480055156, 0.7476361666502511, 0.7315325519550872, 0.7026987097409633, 0.7426622673101546, 0.730498374864572, 0.7400768245838669, 0.719910371318822, 0.7046931941298138, 0.7340933714173151, 0.7045947010735744, 0.7266571456712302, 0.7420713089727174, 0.7312616960504283, 0.7005564857677533, 0.7427115138382744]"
Breast Cancer,Bootstrap,20,10,0.7295503791982667,0.015665398195530193,"[0.7376883679700581, 0.753398010440264, 0.7245641682261401, 0.7198857480547621, 0.7156997931645819, 0.7463065103910175, 0.7307938540332907, 0.715896779277061, 0.7454693194129813, 0.7360632325421057, 0.7454446961489215, 0.7239978331527628, 0.708485176795036, 0.7347335762828721, 0.7033142913424604, 0.7225696838372895, 0.7439919235693884, 0.7332808037033389, 0.6978971732492859, 0.7515266423717128]"
Breast Cancer,Bootstrap,24,6,0.7268713680685512,0.017869145480463255,"[0.7334531665517581, 0.7553186250369349, 0.7201812272234807, 0.718014379986211, 0.7020092583472866, 0.744287402738107, 0.725228996355757, 0.7203782133359597, 0.760784989658229, 0.7402491874322861, 0.7300305328474342, 0.7240470796808824, 0.699374569092879, 0.7284792672116616, 0.6967152565744115, 0.7285285137397813, 0.7482763715158082, 0.7166847237269772, 0.702329360780065, 0.7430562395351128]"
Breast Cancer,Bootstrap,28,2,0.723944893135034,0.01982300805128262,"[0.7396582290948488, 0.7474884270658919, 0.7303260120161529, 0.7063921993499458, 0.6979217965133457, 0.7407908992416035, 0.7200581109031814, 0.7293903279818772, 0.7486703437407662, 0.7343396040579139, 0.7439673003053284, 0.7033635378705801, 0.6837634196789126, 0.7244902984339604, 0.6958780655963754, 0.724145572737122, 0.7395843593026692, 0.7212646508421156, 0.6962720378213336, 0.7511326701467547]"
Breast Cancer,Column-wise,0,30,0.9997673101546342,0.00032957252435152984,"[0.9990150694376047, 1.0, 0.9999015069437605, 1.0, 0.9994582881906825, 0.9998030138875209, 0.9999753767359401, 0.9995075347188024, 1.0, 1.0, 1.0, 1.0, 0.9994090416625628, 1.0, 0.9998030138875209, 1.0, 0.9995075347188024, 0.9999999999999999, 0.9989658229094849, 1.0]"
Breast Cancer,Column-wise,4,26,0.998097852851374,0.0014438531747947947,"[0.9975130503299517, 0.9995321579828622, 0.9991874322860238, 0.9996060277750418, 0.9986703437407662, 0.9979808923470896, 0.999162809021964, 0.9950999704520831, 0.999556781246922, 0.9946075051708855, 0.9994336649266228, 0.9990150694376047, 0.9984487343642273, 0.9976607899143111, 0.9985964739485866, 0.9955185659411011, 0.9989411996454249, 0.9974391805377721, 0.9978331527627302, 0.9981532551955087]"
Breast Cancer,Column-wise,8,22,0.9943526543878658,0.0027340836286043582,"[0.9942135329459274, 0.9977592829705506, 0.9979562690830297, 0.9939673003053285, 0.9962080173347779, 0.9937949374569093, 0.9961095242785384, 0.9939919235693884, 0.9978085294986704, 0.9889195311730523, 0.9992366788141436, 0.9933024721757117, 0.9918004530680588, 0.9943612725302867, 0.9934748350241307, 0.9881808332512558, 0.9950999704520832, 0.9951984635083226, 0.9926130207820348, 0.9930562395351128]"
Breast Cancer,Column-wise,12,18,0.9851952624839949,0.005678590630457849,"[0.9770511178961884, 0.9956909287895204, 0.9882300797793756, 0.9872205259529203, 0.9910371318822023, 0.9869989165763814, 0.9912587412587412, 0.9810647099379494, 0.9942874027381069, 0.9756722151088348, 0.9923421648773761, 0.9848566926031714, 0.983256180439279, 0.9836501526642373, 0.9843888505860336, 0.9770511178961884, 0.9864818280311238, 0.981557175219147, 0.9782084113070029, 0.9836009061361174]"
