dataset,n_features,linkage,metric,requested_k,actual_k,largest_cluster,cluster_sizes,silhouette,ari_to_current
Breast Cancer,30,average,correlation,9,9,7,"7,6,4,3,2,2,2,2,2",0.3707943196534959,
Breast Cancer,30,average,correlation,10,10,6,"6,5,4,3,2,2,2,2,2,2",0.40289869284116,
Breast Cancer,30,average,correlation,11,11,6,"6,5,3,2,2,2,2,2,2,2,2",0.4270017428208089,
Breast Cancer,30,average,correlation,12,12,6,"6,4,3,2,2,2,2,2,2,2,2,1",0.42393294118926794,
Breast Cancer,30,ward,euclidean,3,3,18,"18,6,6",0.15890427409599256,
Breast Cancer,30,ward,euclidean,4,4,15,"15,6,6,3",0.17786587465527257,
Breast Cancer,30,ward,euclidean,5,5,11,"11,6,6,4,3",0.19234623522328984,
Breast Cancer,30,ward,euclidean,6,6,9,"9,6,6,4,3,2",0.2013339190699289,
Breast Cancer,30,ward,euclidean,7,7,9,"9,6,4,3,3,3,2",0.21033341319383295,0.7615567330531701
Breast Cancer,30,ward,euclidean,8,8,9,"9,6,3,3,3,2,2,2",0.21116496921218084,
Breast Cancer,30,ward,euclidean,9,9,7,"7,6,3,3,3,2,2,2,2",0.2198982234054517,
Breast Cancer,30,ward,euclidean,10,10,6,"6,6,3,3,3,2,2,2,2,1",0.2200269331889983,
Breast Cancer,30,ward,euclidean,11,11,6,"6,6,3,3,2,2,2,2,2,1,1",0.22199110666516533,
Breast Cancer,30,ward,euclidean,12,12,6,"6,5,3,3,2,2,2,2,2,1,1,1",0.21826510803702542,
Diabetes,8,single,euclidean,3,3,5,"5,2,1",0.19872685968416168,
Diabetes,8,single,euclidean,4,4,3,"3,2,2,1",0.27980375605428986,1.0
Diabetes,8,single,euclidean,5,5,3,"3,2,1,1,1",0.20116117995601446,
Diabetes,8,single,euclidean,6,6,3,"3,1,1,1,1,1",0.09732812406450994,
Diabetes,8,single,euclidean,7,7,2,"2,1,1,1,1,1,1",0.09663199088585023,
Diabetes,8,single,cosine,3,3,3,"3,3,2",0.5030607860683216,
Diabetes,8,single,cosine,4,4,3,"3,2,2,1",0.47618289771260164,1.0
Diabetes,8,single,cosine,5,5,2,"2,2,2,1,1",0.325258899144688,
Diabetes,8,single,cosine,6,6,2,"2,2,1,1,1,1",0.22234534619206345,
Diabetes,8,single,cosine,7,7,2,"2,1,1,1,1,1,1",0.17066704014819412,
Diabetes,8,single,correlation,3,3,5,"5,2,1",0.23681898600188564,
Diabetes,8,single,correlation,4,4,3,"3,2,2,1",0.4117963554380174,1.0
Diabetes,8,single,correlation,5,5,2,"2,2,2,1,1",0.31298791505343443,
Diabetes,8,single,correlation,6,6,2,"2,2,1,1,1,1",0.24294858545725756,
Diabetes,8,single,correlation,7,7,2,"2,1,1,1,1,1,1",0.16515295274101202,
Diabetes,8,complete,euclidean,3,3,4,"4,2,2",0.22497284155800973,
Diabetes,8,complete,euclidean,4,4,3,"3,2,2,1",0.27980375605428986,1.0
Diabetes,8,complete,euclidean,5,5,2,"2,2,2,1,1",0.19592205686059455,
Diabetes,8,complete,euclidean,6,6,2,"2,2,1,1,1,1",0.15065314043700895,
Diabetes,8,complete,euclidean,7,7,2,"2,1,1,1,1,1,1",0.09663199088585023,
Diabetes,8,complete,cosine,3,3,3,"3,3,2",0.5030607860683216,
Diabetes,8,complete,cosine,4,4,3,"3,2,2,1",0.47618289771260164,1.0
Diabetes,8,complete,cosine,5,5,2,"2,2,2,1,1",0.325258899144688,
Diabetes,8,complete,cosine,6,6,2,"2,2,1,1,1,1",0.22234534619206345,
Diabetes,8,complete,cosine,7,7,2,"2,1,1,1,1,1,1",0.17066704014819412,
Diabetes,8,complete,correlation,3,3,3,"3,3,2",0.43830003271331763,
Diabetes,8,complete,correlation,4,4,3,"3,2,2,1",0.4117963554380174,1.0
Diabetes,8,complete,correlation,5,5,2,"2,2,2,1,1",0.31298791505343443,
Diabetes,8,complete,correlation,6,6,2,"2,2,1,1,1,1",0.24294858545725756,
Diabetes,8,complete,correlation,7,7,2,"2,1,1,1,1,1,1",0.16515295274101202,
